재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산불,[단독] 고성 산불... :: 네이버 뉴스,M,4,무직,100만원 미만,아니오,          ,단독주택,대구,남구,대명4동,"경차 (모닝, 스파크 등)"
산사태,"청주폭우290mm물폭탄산사태홍수주의보…침수피해속출,무심천아찔",M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,광진구,자양1동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
산림재해,"울릉군,산림재해일자리안전교육실시",M,3,,,      ,          ,,경남,창원시 진해구,여좌동,
산사태,태풍및집중호우시산사태대비국민행동요령,F,4,,,      ,          ,,경기,성남시 분당구,이매동,
산사태,"청주폭우290mm물폭탄산사태홍수주의보…침수피해속출,무심천아찔",F,4,"주부 (전업주부, 파트타임 근무 주부)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,달성군,다사읍,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산불,"청주대, 강원 산불 피해지역에 긴급 구호물품 지원.jpg - 웃긴자료 ‥‥‥‥‥、 - 도탁스 (DOTAX)",F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,광명시,철산4동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,구로구,구로동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,F,5,,,      ,          ,,경북,김천시,부곡동,
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",M,4,"교직 (교사, 유치원교사, 학원강사)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,남양주시,별내면,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산사태,"청주폭우290mm물폭탄산사태홍수주의보…침수피해속출,무심천아찔",F,5,,,      ,          ,,충남,천안시 동남구,구성동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,시흥시,조남동,
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",M,3,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",아니오,          ,아파트/ 주상복합,대구,달서구,이곡1동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,남양주시,퇴계원면,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
