치유원,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산림치유원,[영주가볼만한곳] 영주 국립산림치유원,M,3,"판매직 (상점점원, 보험설계사, 노점상)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,부천시 원미구,심곡2동,
산림치유원,국립산림치유원에서 맞이한 행복한 추석 연휴,F,4,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,태안군,태안읍,"경차 (모닝, 스파크 등)"
산림치유원,지리산 덕유산 산림치유원 조성 MOU(업무협약)체결,F,4,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,태안군,태안읍,"경차 (모닝, 스파크 등)"
산림치유원,조달청 나라장터 여행상품 영주 국립산림치유원(2018 가을여행주간),M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,강원,강릉시,내곡동,
치유의숲,[주간정책노트] “치유의 숲에서 아토피 이겨내요” - 대한민국 정책브리핑 | 뉴스 | 정책뉴스,M,4,"자영업 (도소매업, 숙박업, 미용업)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,의정부시,호원동,
산림치유원,해라이트-국립산림치유원,F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,산곡2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,"영주 국립산림치유원,홍천 힐리언스 선마을~나의 웰니스 라이프, 나의 웰니스 여행, My Wellness Life",F,3,,,      ,          ,,충남,서산시,지곡면,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,5,,,      ,          ,,인천,계양구,계산1동,
산림치유원,영주여행 산림치유원에서의하룻밤,M,5,,,      ,          ,,인천,계양구,계산1동,
산림치유원,#송현초 #가족캠프 #영주산림치유원,M,3,기타 ,400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,부천시 오정구,고강본동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,영주여행 산림치유원에서의하룻밤,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 장안구,정자동,
산림치유원,"[웰니스관광서포터즈] 힐링과 치유의 중심지, 국립산림치유원 프로그램 안내 (2) : 데크로드 / 주치마을",M,4,,,      ,          ,,서울,서초구,양재1동,
산림치유원,국립산림치유원에서 건강치유체험하기,F,5,,,      ,          ,,서울,송파구,잠실3동,
산림치유원,국립산림치유원 따라 서원 여행,F,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,금천구,시흥4동,
