행정구역별(시군구),연령별,내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
강원도,35~39세,87830,24920,59052,439,3419,45489,16675,27224,163,1427,42341,8245,31828,276,1992
강원도,40~44세,98019,19472,71591,707,6249,49700,13514,33395,204,2587,48319,5958,38196,503,3662
강원도,45~49세,117348,18153,86451,1647,11097,60692,13459,41737,454,5042,56656,4694,44714,1193,6055
강원도,50~54세,126700,12762,96040,3374,14524,65717,9714,47870,817,7316,60983,3048,48170,2557,7208
강원도,55~59세,131358,8385,102427,6451,14095,66517,6253,51572,1368,7324,64841,2132,50855,5083,6771
강원도,60~64세,135320,5035,105443,11224,13618,67645,3547,54939,2000,7159,67675,1488,50504,9224,6459
강원도,65~69세,95640,2208,71572,14028,7832,47083,1260,38979,2317,4527,48557,948,32593,11711,3305
강원도,70~74세,67813,1039,47295,16114,3365,31650,486,26741,2250,2173,36163,553,20554,13864,1192
강원도,75~79세,64601,618,39442,22652,1889,27557,278,23325,2792,1162,37044,340,16117,19860,727
강원도,80~84세,47425,330,22778,23539,778,18124,69,14515,3112,428,29301,261,8263,20427,350
강원도,85세이상,32653,450,8835,23112,256,8670,86,5805,2649,130,23983,364,3030,20463,126
충청북도,합계,1381085,408059,780060,114586,78380,699593,247895,396693,17486,37519,681492,160164,383367,97100,40861
충청북도,15~19세,79576,79530,40,-,6,41872,41862,10,-,-,37704,37668,30,-,6
충청북도,20~24세,106223,104065,1932,42,184,58181,57602,470,38,71,48042,46463,1462,4,113
충청북도,25~29세,101030,84656,15595,114,665,58224,52572,5288,75,289,42806,32084,10307,39,376
충청북도,30~34세,86765,44555,40431,180,1599,47102,29326,17102,73,601,39663,15229,23329,107,998
충청북도,35~39세,103470,28952,70050,315,4153,54014,19892,32468,75,1579,49456,9060,37582,240,2574
충청북도,40~44세,109162,21530,79574,662,7396,56480,15078,38116,201,3085,52682,6452,41458,461,4311
충청북도,45~49세,123911,17659,92955,1713,11584,63845,12903,45445,422,5075,60066,4756,47510,1291,6509
충청북도,50~54세,133879,11769,102937,3873,15300,68416,8747,51635,823,7211,65463,3022,51302,3050,8089
충청북도,55~59세,131928,6972,104251,6427,14278,67795,5150,54168,1376,7101,64133,1822,50083,5051,7177
충청북도,60~64세,125940,4462,98849,10966,11663,63502,2950,52770,1912,5870,62438,1512,46079,9054,5793
충청북도,65~69세,88503,1865,67521,12711,6406,43449,1045,36750,1908,3746,45054,820,30771,10803,2660
충청북도,70~74세,61963,881,44036,14140,2906,29525,369,25478,1954,1724,32438,512,18558,12186,1182
충청북도,75~79세,55887,515,33644,20275,1453,23465,241,19693,2719,812,32422,274,13951,17556,641
충청북도,80~84세,42162,297,19977,21349,539,15501,106,12168,2968,259,26661,191,7809,18381,280
충청북도,85세이상,30686,351,8268,21819,248,8222,52,5132,2942,96,22464,299,3136,18877,152
충청남도,합계,1806497,509966,1043126,154160,99245,919456,311983,535494,22610,49369,887041,197983,507632,131550,49876
충청남도,15~19세,105327,105269,56,1,1,54907,54894,12,1,-,50420,50375,44,-,1
충청남도,20~24세,127916,125399,2310,52,155,68805,68164,559,35,47,59111,57235,1751,17,108
충청남도,25~29세,119515,98466,20059,99,891,67311,60852,6061,69,329,52204,37614,13998,30,562
충청남도,30~34세,117222,56440,58418,217,2147,63898,38594,24346,128,830,53324,17846,34072,89,1317
충청남도,35~39세,144801,38086,100477,627,5611,77356,27111,47632,254,2359,67445,10975,52845,373,3252
충청남도,40~44세,151756,28786,112483,1036,9451,80666,21041,55219,298,4108,71090,7745,57264,738,5343
충청남도,45~49세,164549,23171,123717,1929,15732,87466,17531,62143,484,7308,77083,5640,61574,1445,8424
충청남도,50~54세,163975,14601,126650,4084,18640,86482,11147,65074,967,9294,77493,3454,61576,3117,9346
충청남도,55~59세,165142,8691,130711,7626,18114,86476,6352,69448,1469,9207,78666,2339,61263,6157,8907
충청남도,60~64세,154302,5502,121440,12761,14599,77662,3678,64263,2005,7716,76640,1824,57177,10756,6883
